,0,1,2,3,4,5,6,7,8,9,10,11
25,1.144886,149.27864,-22.189058,123.43123,329.34967,283.6881,223.73708,175.37186,1633.1483,1620.8644,1688.1011,1679.1589
26,7.800665,155.15016,-16.7281,128.13652,335.9858,288.0725,231.49773,180.95782,1628.4219,1615.9518,1684.9749,1675.8824
27,14.761492,161.34152,-10.967529,133.11479,342.72556,292.51965,239.28575,186.57205,1623.4626,1610.8188,1681.4749,1672.2363
28,22.001757,167.8261,-4.917979,138.35995,349.5993,297.07602,247.14828,192.27954,1618.1776,1605.3821,1677.5327,1668.1775
29,29.499102,174.57352,1.4113193,143.87044,356.6242,301.79016,255.13669,198.14885,1612.4825,1599.568,1673.0961,1663.6735
30,37.234043,181.55423,8.012524,149.64787,363.79852,306.70667,263.29443,204.23929,1606.3135,1593.3223,1668.1355,1658.705
31,45.188316,188.74286,14.879263,155.69586,371.10242,311.86002,271.64606,210.5904,1599.6371,1586.6173,1662.6489,1653.2703
32,53.343613,196.1202,22.006891,162.0192,378.5042,317.269,280.18982,217.21552,1592.4568,1579.4564,1656.6633,1647.3872
33,61.682167,203.67395,29.39293,168.62396,385.96933,322.93262,288.89624,224.1005,1584.8129,1571.8733,1650.2316,1641.0927
34,70.18947,211.39857,37.0377,175.51772,393.46796,328.8286,297.71307,231.20715,1576.775,1563.926,1643.4247,1634.4374
35,78.85817,219.29492,44.94486,182.70929,400.97888,334.91577,306.57544,238.48001,1568.4291,1555.6862,1636.3197,1627.479
36,87.6915,227.36981,53.12148,190.20749,408.489,341.13892,315.41864,245.85501,1559.8591,1547.2235,1628.9856,1620.271
37,96.70435,235.63553,61.577362,198.0191,415.99042,347.4365,324.18985,253.26819,1551.1312,1538.5918,1621.4705,1612.8529
38,105.92091,244.10895,70.3232,206.14606,423.4767,353.74792,332.85645,260.66333,1542.2795,1529.8164,1613.793,1605.2418
39,115.3692,252.80882,79.36769,214.5831,430.9403,360.01978,341.40872,267.9976,1533.301,1520.8888,1605.941,1597.4296
40,125.073395,261.75146,88.71391,223.31589,438.37134,366.20905,349.85693,275.2437,1524.1576,1511.767,1597.8773,1589.3838
41,135.0462,270.9447,98.35545,232.31992,445.75732,372.28394,358.224,282.38904,1514.7844,1502.3842,1589.5479,1581.0538
42,145.28262,280.3815,108.27326,241.56003,453.0838,378.22278,366.53564,289.431,1505.1033,1492.6597,1580.8928,1572.3799
43,155.75673,290.03552,118.43365,250.99066,460.33478,384.0123,374.81116,296.37183,1495.0339,1482.5131,1571.8535,1563.3009
44,166.42148,299.85925,128.78795,260.557,467.49347,389.64655,383.0565,303.21362,1484.5048,1471.8749,1562.3766,1553.7617
45,177.21149,309.78702,139.27405,270.1974,474.5434,395.12704,391.26166,309.95618,1473.4564,1460.6931,1552.413,1543.716
46,188.04819,319.74094,149.81995,279.84766,481.4695,400.46307,399.40314,316.59778,1461.8423,1448.9357,1541.9159,1533.127
47,198.8467,329.6401,160.34903,289.44687,488.2596,405.67184,407.44977,323.1372,1449.6256,1436.5859,1530.8396,1521.9652
48,209.52376,339.4098,170.7871,298.94373,494.90533,410.7765,415.37134,329.57663,1436.7765,1423.6371,1519.1398,1510.2065
49,220.00581,348.98907,181.0696,308.30167,501.40253,415.80206,423.1458,335.92273,1423.2695,1410.0859,1506.7771,1497.8317
50,230.23543,358.33466,191.14774,317.50073,507.75037,420.7704,430.76328,342.1862,1409.0841,1395.9288,1493.723,1484.8273
