,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,-200.38246,-190.59918,-181.5303,-151.708,-105.34254,-119.30653,151.99431,155.27997,180.72029,163.29517,105.34254,155.9988,173.85478,140.11911,81.25408,65.14033,1.142788,226.38824,182.82861,142.51129,89.898636,37.244846,-1.142788,217.49599,688.7773,526.93726,251.75989,79.14812,37.138344,28.244122,807.14667,529.8113,372.5172,78.86319,42.02464,28.506386
11,-200.39775,-190.6502,-181.53983,-151.69783,-105.320206,-119.29565,151.95746,155.18866,180.62483,163.27002,105.320206,156.02686,174.29945,140.37614,81.36816,65.1766,1.1389796,226.39232,182.35023,142.34807,89.799614,37.232796,-1.1389796,217.48276,688.7322,526.8712,251.69756,79.12891,37.141987,28.251541,807.2146,529.85974,372.5636,78.89422,42.051308,28.492386
12,-200.41321,-190.66785,-181.54306,-151.69318,-105.292046,-119.28413,151.90698,155.08719,180.51321,163.2393,105.292046,156.05064,174.77568,140.62704,81.50735,65.215645,1.1333187,226.39456,181.90073,142.17325,89.69379,37.214943,-1.1333187,217.48674,688.692,526.76337,251.63994,79.12196,37.147118,28.252102,807.324,529.903,372.61786,78.9274,42.07606,28.498186
13,-200.4215,-190.6698,-181.54277,-151.69026,-105.2588,-119.2693,151.84164,154.98474,180.38708,163.20525,105.2588,156.07545,175.2808,140.91287,81.67626,65.25956,1.1241614,226.39134,181.46585,141.98279,89.57966,37.19068,-1.1241614,217.50452,688.6541,526.6467,251.59622,79.12845,37.155285,28.2431,807.46747,529.9433,372.67725,78.961555,42.10045,28.524073
14,-200.40765,-190.66719,-181.54025,-151.68404,-105.22295,-119.24841,151.76617,154.88922,180.25314,163.17116,105.22295,156.10995,175.80904,141.2582,81.87409,65.311104,1.1107056,226.3811,181.02325,141.77625,89.45478,37.16098,-1.1107056,217.52379,688.61255,526.5447,251.56973,79.14566,37.167336,28.224667,807.6298,529.9834,372.73846,78.99558,42.12564,28.559673
15,-200.35085,-190.66295,-181.53477,-151.6695,-105.18847,-119.21912,151.69044,154.8058,180.12202,163.14093,105.18847,156.16359,176.35283,141.66685,82.09494,65.37269,1.0931113,226.36488,180.54942,141.55501,89.31613,37.127846,-1.0931113,217.52701,688.55927,526.4666,251.5571,79.16814,37.18341,28.199457,807.79193,530.02625,372.79825,79.02834,42.151787,28.586943
16,-200.22894,-190.65366,-181.52377,-151.64297,-105.15997,-119.180046,151.62624,154.73663,180.00595,163.1183,105.15997,156.243,176.90456,142.1253,82.32978,65.44518,1.072297,226.3461,180.02814,141.32014,89.161156,37.093533,-1.072297,217.4977,688.4858,526.4091,251.5498,79.18943,37.20323,28.171597,807.9372,530.07416,372.85425,79.05847,42.177734,28.58677
17,-200.02534,-190.63322,-181.50414,-151.60324,-105.14156,-119.13128,151.58336,154.68138,179.91525,163.10603,105.14156,156.34914,177.45781,142.61021,82.569214,65.52713,1.049547,226.32962,179.45706,141.0706,88.98861,37.059834,-1.049547,217.42712,688.38574,526.3612,251.53766,79.20401,37.226368,28.145393,808.058,530.128,372.90524,79.08425,42.20119,28.54666
18,-199.73572,-190.5965,-181.47398,-151.55206,-105.135544,-119.07466,151.56628,154.63814,179.85498,163.10522,105.135544,156.47618,178.00845,143.09708,82.8063,65.61497,1.0260925,226.32042,178.84892,140.80258,88.79823,37.027557,-1.0260925,217.31822,688.25714,526.3107,251.51245,79.208626,37.252384,28.124245,808.1586,530.1871,372.9511,79.10367,42.219364,28.466196
19,-199.37181,-190.54166,-181.43439,-151.49414,-105.14148,-119.01364,151.57304,154.6041,179.8224,163.1149,105.14148,156.61285,178.55522,143.56667,83.03846,65.70412,1.0028466,226.3222,178.22623,140.51053,88.58925,36.99637,-1.0028466,217.18489,688.10297,526.24915,251.47086,79.20295,37.28076,28.109985,808.2529,530.2491,372.9925,79.11474,42.229843,28.357567
20,-198.95963,-190.47061,-181.39001,-151.4362,-105.156075,-118.952736,151.59642,154.57619,179.80632,163.13235,105.156075,156.74608,179.09969,144.00809,83.26793,65.79063,0.9804357,226.33627,177.61166,140.18898,88.358345,36.964924,-0.9804357,217.0467,687.93054,526.1739,251.41539,79.18936,37.31072,28.10279,808.35767,530.31134,373.0303,79.11585,42.231472,28.240667
21,-198.5314,-190.388,-181.3485,-151.38556,-105.17392,-118.896454,151.6268,154.55135,179.78888,163.15375,105.17392,156.86513,179.64516,144.41849,83.50052,65.87245,0.95951426,226.36111,177.0185,139.83492,88.098564,36.93122,-0.95951426,216.9213,687.7476,526.08716,251.35336,79.17212,37.34095,28.101511,808.48444,530.3716,373.06573,79.10627,42.22478,28.134995
22,-198.11432,-190.29941,-181.31836,-151.34833,-105.18913,-118.84825,151.6551,154.52686,179.74977,163.17534,105.18913,156.96497,180.19473,144.80083,83.74307,65.949684,0.9411441,226.39261,176.44507,139.44951,87.80019,36.893047,-0.9411441,216.81808,687.5589,525.9937,251.29428,79.15624,37.36951,28.104239,808.6341,530.4292,373.1003,79.08646,42.21191,28.052183
23,-197.72119,-190.20975,-181.3062,-151.32787,-105.19715,-118.80946,151.67491,154.50076,179.6721,163.19443,105.19715,157.04695,180.74861,145.16113,84.00027,66.02377,0.92690253,226.42513,175.87546,139.0387,87.45401,36.848473,-0.92690253,216.7366,687.36365,525.8977,251.24664,79.14652,37.393867,28.108847,808.7961,530.4856,373.13623,79.05826,42.196,27.99271
24,-197.34863,-190.1225,-181.31407,-151.32397,-105.196175,-118.77892,151.683,154.47212,179.5481,163.21011,105.196175,157.11676,181.3018,145.50606,84.27184,66.096085,0.91850567,226.45294,175.28525,138.61229,87.05572,36.796303,-0.91850567,216.66945,687.1568,525.8016,251.21501,79.146675,37.411224,28.11336,808.9518,530.54364,373.17624,79.02475,42.18032,27.94804
25,-196.98503,-190.03966,-181.33824,-151.33319,-105.18751,-118.75311,151.67871,154.44121,179.38292,163.22331,105.18751,157.18071,181.84334,145.84135,84.551315,66.16683,0.91702473,226.47163,174.64966,138.18204,86.609856,36.736446,-0.91702473,216.60844,686.9343,525.706,251.19852,79.158745,37.41906,28.116085,809.0805,530.6069,373.22287,78.98982,42.167484,27.906822
26,-196.62515,-189.96233,-181.36978,-151.34988,-105.17489,-118.72711,151.66307,154.40929,179.19453,163.23624,105.17489,157.24222,182.35779,146.17097,84.82677,66.23473,0.92206764,226.47902,173.95111,137.75887,86.13106,36.670067,-0.92206764,216.55045,686.7006,525.61163,251.191,79.18266,37.415806,28.115654,809.16626,530.678,373.27747,78.95748,42.15893,27.861876
27,-196.28374,-189.89127,-181.39685,-151.36784,-105.16306,-118.69578,151.63783,154.37839,179.00948,163.25157,105.16306,157.3003,182.82906,146.4969,85.08372,66.297714,0.9313711,226.47551,173.18408,137.35057,85.64177,36.59943,-0.9313711,216.49983,686.4738,525.52026,251.18274,79.21623,37.40146,28.111107,809.2019,530.75806,373.3392,78.93106,42.154854,27.814629
28,-196.00035,-189.82706,-181.40817,-151.3816,-105.15627,-118.655014,151.6054,154.3511,178.8554,163.27171,105.15627,157.3506,183.24557,146.81938,85.30923,66.35414,0.9410845,226.46384,172.35623,136.96048,85.16678,36.527496,-0.9410845,216.46684,686.28595,525.4356,251.16357,79.25551,37.378014,28.10212,809.1913,530.84656,373.40518,78.9126,42.154453,27.775028
29,-195.83084,-189.7698,-181.3963,-151.38731,-105.157265,-118.60252,151.56876,154.33047,178.75304,163.29834,105.157265,157.3885,183.6049,147.13765,85.496155,66.40411,0.9466928,226.44829,171.48627,136.58759,84.726494,36.457325,-0.9466928,216.46243,686.1763,525.3624,251.126,79.29561,37.349472,28.089325,809.14844,530.94135,373.47134,78.90249,42.15642,27.757225
30,-195.8274,-189.71883,-181.36009,-151.38293,-105.16696,-118.53818,151.53143,154.31992,178.7106,163.33237,105.16696,157.41254,183.91603,147.45119,85.64593,66.450005,0.9442446,226.43362,170.59882,136.22792,84.33179,36.391476,-0.9442446,216.49268,686.1792,525.305,251.06786,79.33193,37.32128,28.074476,809.0938,531.0397,373.53387,78.89957,42.15941,27.773224
31,-196.01411,-189.67255,-181.30536,-151.36815,-105.184685,-118.4638,151.49695,154.3228,178.72221,163.37386,105.184685,157.42625,184.19815,147.76108,85.76901,66.49598,0.9314288,226.42412,169.71771,135.8766,83.98227,36.331577,-0.9314288,216.55524,686.3107,525.26587,250.99326,79.36111,37.299217,28.060278,809.0495,531.1391,373.59064,78.90146,42.162403,27.827385
32,-196.36806,-189.62904,-181.24368,-151.34418,-105.20857,-118.38273,151.4678,154.34152,178.77068,163.422,105.20857,157.4375,184.47617,148.07092,85.88256,66.54666,0.90813315,226.42256,168.85947,135.5297,83.668396,36.27814,-0.90813315,216.63945,686.5587,525.245,250.91206,79.381615,37.28784,28.049864,809.0333,531.2378,373.64163,78.90523,42.164825,27.91415
33,-196.81445,-189.58693,-181.1898,-151.31349,-105.23592,-118.29932,151.44475,154.37613,178.83267,163.47487,105.23592,157.45529,184.77426,148.3866,86.0061,66.605385,0.8763497,226.42989,168.02855,135.18506,83.37584,36.230568,-0.8763497,216.72993,686.8806,525.2398,250.83748,79.39369,37.28903,28.046066,809.055,531.335,373.68857,78.90795,42.16649,28.019789
34,-197.24025,-189.54605,-181.15819,-151.27937,-105.26347,-118.21836,151.42651,154.42288,178.8848,163.52937,105.26347,157.48564,185.10983,148.71451,86.1566,66.67274,0.83954513,226.44525,167.21603,134.84203,83.08995,36.187283,-0.83954513,216.81216,687.21106,525.2455,250.78284,79.39849,37.301147,28.05077,809.11414,531.4306,373.73367,78.90729,42.167385,28.127401
35,-197.52348,-189.50764,-181.15973,-151.24522,-105.28774,-118.14441,151.41042,154.47362,178.90833,163.58154,105.28774,157.52841,185.4894,149.05858,86.344406,66.74603,0.8017807,226.46661,166.40205,134.49959,82.79861,36.145905,-0.8017807,216.87764,687.47797,525.2555,250.75836,79.39703,37.319305,28.064528,809.2014,531.5251,373.77832,78.90177,42.167473,28.223032
36,-197.56984,-189.47392,-181.19922,-151.21391,-105.30553,-118.08096,151.3934,154.51624,178.89226,163.62726,105.30553,157.57654,185.90749,149.41756,86.57126,66.81978,0.7668848,226.49136,165.56137,134.15414,82.49303,36.103462,-0.7668848,216.92671,687.6225,525.26184,250.7687,79.389435,37.33675,28.086515,809.3014,531.6189,373.82224,78.89101,42.16659,28.300413
37,-197.34427,-189.4472,-181.27441,-151.18727,-105.31467,-118.02967,151.37292,154.5368,178.83438,163.66327,105.31467,157.6183,186.34857,149.78342,86.83058,66.887115,0.7378764,226.51689,164.6705,133.79745,82.16723,36.056755,-0.7378764,216.96782,687.6167,525.2561,250.81194,79.37495,37.34684,28.114742,809.3976,531.7123,373.86356,78.87566,42.16444,28.362314
38,-196.88638,-189.42918,-181.37663,-151.16629,-105.31467,-117.98971,151.34705,154.52252,178.74039,163.68794,105.31467,157.64206,186.79102,150.14217,87.10964,66.941696,0.71666205,226.54074,163.71431,133.41602,81.817215,36.002834,-0.71666205,217.01323,687.47284,525.2308,250.87964,79.35297,37.344933,28.146412,809.4765,531.80524,373.89987,78.8573,42.160698,28.417824
39,-196.30318,-189.4204,-181.49283,-151.15147,-105.30714,-117.95769,151.31384,154.4651,178.62177,163.70174,105.30714,157.64157,187.21205,150.47668,87.39284,66.979416,0.70389414,226.56073,162.6904,132.9927,81.44055,35.9397,-0.70389414,217.0728,687.2414,525.18146,250.95871,79.32433,37.32946,28.178326,809.53076,531.8973,373.92966,78.838135,42.155163,28.476643
40,-195.74011,-189.42009,-181.60876,-151.1435,-105.29562,-117.92815,151.27028,154.3632,178.49275,163.70697,105.29562,157.62024,187.59291,150.77058,87.66517,66.99958,0.6988627,226.57487,161.61017,132.51071,81.03664,35.867027,-0.6988627,217.14798,686.9971,525.10834,251.03404,79.2922,37.30199,28.20723,809.5604,531.98785,373.95364,78.820595,42.147865,28.542782
41,-195.33875,-189.42639,-181.7121,-151.14307,-105.28495,-117.89457,151.21176,154.22333,178.36693,163.70726,105.28495,157.59216,187.92285,151.01227,87.915115,67.005066,0.69941163,226.58176,160.49617,131.95876,80.607086,35.78662,-0.69941163,217.22858,686.8174,525.01666,251.09167,79.26164,37.26656,28.230127,809.57196,532.0762,373.97528,78.806915,42.13908,28.61048
42,-195.19418,-189.43684,-181.79514,-151.1504,-105.28009,-117.85075,151.1329,154.0585,178.25441,163.70667,105.28009,157.5797,188.20134,151.19778,88.13622,67.001495,0.7020439,226.58098,159.37682,131.3356,80.15584,35.702385,-0.7020439,217.29378,686.75934,524.91547,251.12181,79.23808,37.228554,28.244602,809.57544,532.16174,374.00015,78.798645,42.129284,28.664341
43,-195.32559,-189.44896,-181.85585,-151.16455,-105.28493,-117.79231,151.02934,153.88501,178.15965,163.70874,105.28493,157.60736,188.43774,151.33203,88.326996,66.99564,0.70243835,226.57347,158.27997,130.65192,79.688675,35.619564,-0.70243835,217.31763,686.84174,524.8157,251.12042,79.22504,37.193573,28.249243,809.5813,532.2446,374.03458,78.79634,42.119038,28.684025
44,-195.67033,-189.46098,-181.89758,-151.18285,-105.301125,-117.71796,150.90004,153.71786,178.0807,163.71559,105.301125,157.69412,188.64848,151.42783,88.48929,66.99368,0.69648063,226.56166,157.22713,129.92827,79.21218,35.54344,-0.69648063,217.27747,687.0385,524.7275,251.08922,79.22243,37.166313,28.244072,809.5973,532.3254,374.0837,78.79933,42.108845,28.652044
45,-196.10341,-189.4722,-181.92702,-151.20128,-105.32758,-117.63003,150.74852,153.56671,178.0099,163.72713,105.32758,157.84604,188.85214,151.50296,88.62602,66.99979,0.6816143,226.54895,156.22974,129.18967,78.73242,35.477867,-0.6816143,217.1629,687.28516,524.6583,251.03392,79.226105,37.149643,28.230808,809.6267,532.40546,374.1501,78.80576,42.099003,28.561857
46,-196.47542,-189.48302,-181.95186,-151.21547,-105.36068,-117.53422,150.58215,153.43314,177.93604,163.7408,105.36068,158.052,189.06436,151.57588,88.739265,67.01538,0.65803313,226.53873,155.28845,128.45879,78.25375,35.42408,-0.65803313,216.98207,687.49744,524.61255,250.96202,79.22893,37.143955,28.212729,809.66797,532.4864,374.2326,78.81283,42.089508,28.422873
47,-196.65576,-189.49454,-181.97856,-151.22173,-105.39521,-117.43819,150.40977,153.31093,177.84753,163.75212,105.39521,158.28465,189.29356,151.66109,88.829575,67.03933,0.6291188,226.53337,154.39497,127.75037,77.77817,35.380287,-0.6291188,216.76219,687.5953,524.5907,250.88058,79.22293,37.14694,28.194036,809.7153,532.5697,374.32654,78.817215,42.079998,28.260021
48,-196.56714,-189.50797,-182.01105,-151.21788,-105.42589,-117.34959,150.23842,153.1889,177.73586,163.75587,105.42589,158.50662,189.53957,151.76578,88.89683,67.06894,0.6007271,226.53343,153.53596,127.069,77.30543,35.34226,-0.6007271,216.5439,687.52527,524.5903,250.79524,79.20168,37.153942,28.178877,809.7605,532.65594,374.42453,78.815735,42.069885,28.107483
49,-196.2029,-189.52415,-182.0503,-151.20341,-105.448875,-117.274025,150.07126,153.05537,177.59814,163.74794,105.448875,158.6805,189.7945,151.88872,88.94206,67.10135,0.5793716,226.53769,152.69804,126.41082,76.83435,35.304764,-0.5793716,216.37045,687.2756,524.6063,250.70988,79.16206,37.158993,28.170307,809.7949,532.74457,374.5181,78.80597,42.058525,27.998796
50,-195.6256,-189.54318,-182.09482,-151.17926,-105.462776,-117.2137,149.90729,152.9026,177.43817,163.72682,105.462776,158.77936,190.0458,152.0217,88.96916,67.13483,0.5698978,226.54402,151.87282,125.76803,76.364655,35.263477,-0.5698978,216.27562,686.8794,524.63165,250.62698,79.10495,37.15634,28.169617,809.8114,532.8333,374.5993,78.78692,42.04547,27.957092
51,-194.95044,-189.5645,-182.14128,-151.14726,-105.468765,-117.1672,149.74326,152.72931,177.26514,163.6945,105.468765,158.794,190.2797,152.1532,88.98541,67.169464,0.57360196,226.55057,151.06085,125.13439,75.898895,35.216537,-0.57360196,216.27478,686.4076,524.65784,250.54782,79.03468,37.14208,28.176256,809.80676,532.9192,374.66248,78.75932,42.030678,27.98918
