,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
13,-203.49045,-260.9671,-264.2881,-282.83008,-281.00568,-267.53888,-314.26825,157.38573,230.3435,229.91493,257.68433,275.2923,240.49768,311.15063,152.0385,155.2682,113.76176,197.87828,242.54526,167.56155,242.14879,129.51567,96.446945,93.67733,157.83066,220.93073,157.11086,223.67989,1510.7874,1339.6405,1149.402,986.0244,901.65216,878.96075,804.49005,1511.4855,1252.4956,1146.7422,1047.8795,906.6536,877.7993,808.3429
14,-202.1353,-259.99414,-264.2023,-281.6554,-279.0227,-267.30115,-312.67883,158.17879,231.48836,231.19333,258.91644,276.24066,241.76971,312.22903,155.30432,158.62999,117.46869,202.47597,247.5442,172.21802,248.18916,131.10529,96.45852,93.38174,157.73106,221.11183,157.12785,224.12477,1508.7521,1337.9528,1147.6466,984.5193,900.32513,877.3568,803.3085,1508.9718,1250.3868,1144.5736,1045.6974,904.548,875.61444,806.30273
15,-200.68768,-258.9416,-264.0639,-280.42108,-277.0521,-266.74887,-310.87173,159.01141,232.69862,232.57294,260.20697,277.21567,243.12424,313.32806,158.78773,162.15628,121.2067,206.94473,252.37367,176.87788,253.9705,132.88571,96.56762,93.15319,157.65895,221.24057,157.03793,224.49313,1506.406,1335.9849,1145.6185,982.69025,898.68097,875.4798,801.77185,1506.0605,1247.9043,1142.0304,1043.117,902.0086,873.0282,803.8224
16,-199.15161,-257.80692,-263.89172,-279.0889,-275.00995,-265.9536,-308.84213,159.8799,233.95328,234.04771,261.54364,278.23145,244.54974,314.43582,162.46893,165.83109,125.01117,211.32718,257.06018,181.50844,259.54486,134.82736,96.79058,93.02086,157.62064,221.29684,156.83498,224.74406,1503.7808,1333.764,1143.3478,980.56006,896.72455,873.3523,799.9074,1502.796,1245.0837,1139.1514,1040.1726,899.062,870.07245,800.918
17,-197.52881,-256.58563,-263.70023,-277.61942,-272.81345,-264.98816,-306.58533,160.78284,235.23569,235.60077,262.91483,279.30386,246.03133,315.54727,166.3237,169.64348,128.92523,215.67473,261.6423,186.08897,264.96802,136.90195,97.135574,93.00281,157.61989,221.26405,156.51903,224.84273,1500.9167,1331.3253,1140.8751,978.1621,894.4769,871.0036,797.7477,1499.2382,1241.9788,1135.9928,1036.9181,895.75653,866.7987,797.6303
18,-195.81552,-255.27222,-263.4934,-275.9803,-270.39713,-263.90784,-304.09625,161.72421,236.53815,237.20804,264.3134,280.4494,247.55563,316.6703,170.32864,173.5913,132.98955,220.03526,266.15854,190.61292,270.28467,139.08603,97.60019,93.1022,157.65709,221.13223,156.09476,224.76729,1497.8568,1328.7054,1138.2452,975.5352,891.9719,868.4652,795.3258,1495.4518,1238.6511,1132.6184,1033.4172,892.15405,863.27,794.01917
19,-194.00113,-253.86037,-263.26007,-274.15088,-267.72217,-262.74133,-301.37103,162.71516,237.86362,238.84488,265.74023,281.68497,249.11462,317.82843,174.4653,177.68059,137.2337,224.4462,270.63947,195.08696,275.5242,141.36165,98.17169,93.30695,157.7283,220.89981,155.57077,224.51306,1494.6409,1325.9388,1135.5,972.7187,889.24994,865.7667,792.67444,1491.4955,1235.1598,1129.0881,1029.733,888.31915,859.55035,790.1546
20,-192.0691,-252.34273,-262.97195,-272.12338,-264.778,-261.49072,-298.40997,163.77391,239.22414,240.49393,267.20612,283.02792,250.70728,319.06033,178.72163,181.9214,141.67136,228.93346,275.10602,199.5285,280.70605,143.7146,98.829926,93.5929,157.82462,220.57387,154.96,224.09325,1491.3013,1323.054,1132.6715,969.7489,886.3516,862.93304,789.8264,1487.4124,1231.551,1125.4482,1025.918,884.3097,855.6947,786.10596
21,-190.0005,-250.7101,-262.5861,-269.90045,-261.5785,-260.13934,-295.22107,164.92337,240.63692,242.15138,268.73138,284.49588,252.33997,320.41525,183.09114,186.32188,146.30028,233.51508,279.57306,203.96361,285.84998,146.13202,99.5519,93.92974,157.93323,220.16985,154.28107,223.53687,1487.8606,1320.0719,1129.7781,966.65643,883.3116,859.9827,786.8146,1483.2244,1227.852,1121.7253,1022.00543,880.1684,851.7408,781.9314
22,-187.77838,-248.95053,-262.05078,-267.4913,-258.15405,-258.66278,-291.82208,166.18727,242.11992,243.83006,270.34326,286.1055,254.02711,321.94687,187.57071,190.88373,151.10768,238.2074,284.0569,208.42639,290.98605,148.60132,100.31667,94.28823,158.04024,219.71104,153.55974,222.88504,1484.3303,1317.0039,1126.8212,963.46326,880.15314,856.92737,783.66986,1478.9305,1224.0674,1117.923,1018.00604,875.9187,847.7038,777.66925
23,-185.39209,-247.04944,-261.3147,-264.90668,-254.5419,-257.03976,-288.23926,167.58539,243.68806,245.55753,272.0715,287.87064,255.79283,323.70557,192.15886,195.60143,156.0797,243.03137,288.58362,212.95993,296.1605,151.11119,101.1093,94.646965,158.13504,219.22859,152.83017,222.18643,1480.7085,1313.8502,1123.7855,960.17926,876.8851,853.76996,780.41595,1474.5094,1220.1802,1114.0231,1013.9071,871.56354,843.5755,773.33374
24,-182.83945,-244.99089,-260.3363,-262.15448,-250.77534,-255.25967,-284.5027,169.12941,245.35146,247.36975,273.94324,289.80084,257.6728,325.73077,196.85521,200.4661,161.21185,248.01688,293.1956,217.617,301.4357,153.65471,101.92316,94.997154,158.21497,218.7606,152.13464,221.49263,1476.98,1310.598,1120.6406,956.7999,873.50024,850.50366,777.06274,1469.9232,1216.1562,1109.99,1009.6769,867.0877,839.327,768.91473
25,-180.12628,-242.75989,-259.0911,-259.23654,-246.875,-253.32478,-280.63745,170.82042,247.11562,249.30237,275.97864,291.9013,259.71408,328.04523,201.66174,205.47224,166.51663,253.20375,297.95294,222.45941,306.88553,156.23227,102.76034,95.34425,158.28877,218.34999,151.52188,220.8537,1473.1152,1307.2208,1117.3439,953.3048,869.9765,847.10986,773.60077,1465.1255,1211.9504,1105.7771,1005.27136,862.4626,834.91534,764.3812
26,-177.263,-240.34485,-257.57492,-256.14767,-242.84329,-251.24706,-276.65488,172.64896,248.98317,251.38214,278.1887,294.17444,261.97058,330.65152,206.58502,210.62448,172.02519,258.639,302.92923,227.55487,312.5876,158.85312,103.63044,95.70651,158.37779,218.04039,151.04324,220.31467,1469.0726,1303.6787,1113.8447,949.659,866.27936,843.5576,769.99927,1460.0671,1207.5138,1101.3337,1000.64264,857.6514,830.291,759.68805
27,-174.2596,-237.73926,-255.80197,-252.87665,-238.6644,-249.04019,-272.5459,174.59714,250.95584,253.62158,280.57513,296.62234,264.49335,333.53305,211.63847,215.94135,177.78267,264.37103,308.20197,232.97198,318.61456,161.53378,104.548325,96.11121,158.51453,217.87148,150.74777,219.91379,1464.8005,1299.9202,1110.0884,945.8165,862.3666,839.80444,766.20886,1454.7026,1202.7992,1096.6112,995.7459,852.6144,825.40564,754.7835
