,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
11,-191.30482,-276.62878,-272.35312,-300.9984,-260.17706,-304.45145,-313.79773,136.50214,219.63516,214.90506,263.29922,295.0989,249.74367,333.14536,219.83244,217.66452,159.9215,258.5227,292.93423,223.19038,307.84814,206.37984,174.3461,163.86177,196.08925,284.61002,215.50757,262.70682,1492.9218,1332.073,1126.65,967.60693,891.7994,884.9673,814.5008,1481.7882,1239.3605,1114.448,1035.9039,895.40015,877.8017,808.56793
12,-191.1406,-276.6109,-272.97128,-300.93378,-259.76282,-304.7783,-313.4284,136.452,220.10687,216.10881,264.0654,294.4222,250.48235,333.21863,222.22049,219.20311,159.81158,258.07455,291.86517,222.51514,307.04483,209.01202,176.88075,166.12785,199.08238,287.72302,217.56792,266.14502,1493.1907,1332.4254,1127.4116,967.98663,892.0348,885.49274,814.78754,1481.7853,1239.5292,1114.6869,1036.1414,895.3735,877.8794,808.771
13,-190.94208,-276.58292,-273.65506,-300.9201,-259.3888,-305.18637,-313.11908,136.3985,220.59142,217.29681,264.78094,293.7248,251.13934,333.2052,224.71307,220.80173,159.70798,257.61038,290.75864,221.83469,306.24603,211.73103,179.59155,168.47153,202.24367,291.01868,219.92674,269.8158,1493.4402,1332.7866,1128.218,968.3993,892.3092,886.0642,815.12366,1481.7495,1239.6705,1114.913,1036.3551,895.3731,877.9198,808.9715
14,-190.70154,-276.5459,-274.38925,-300.94733,-259.06628,-305.6715,-312.85498,136.35176,221.08324,218.42667,265.41815,292.9846,251.69493,333.0784,227.29367,222.43153,159.61389,257.13403,289.60898,221.14925,305.44598,214.52135,182.41093,170.89607,205.54584,294.4951,222.55907,273.71674,1493.6763,1333.1732,1129.079,968.8537,892.6299,886.6936,815.5122,1481.69,1239.795,1115.1211,1036.5404,895.4047,877.95575,809.17786
15,-190.41367,-276.5014,-275.15875,-301.00623,-258.80615,-306.22733,-312.62723,136.32379,221.56775,219.46005,265.95425,292.17487,252.13371,332.81494,229.9507,224.068,159.52895,256.65213,288.41513,220.46094,304.6392,217.37222,185.27002,173.4159,208.96423,298.15103,225.43932,277.85468,1493.9004,1333.594,1129.997,969.3538,892.9975,887.38513,815.952,1481.6128,1239.9072,1115.2999,1036.6909,895.46704,878.0082,809.3921
16,-190.07703,-276.45157,-275.95084,-301.0889,-258.6136,-306.84528,-312.43158,136.3259,222.0237,220.36931,266.37277,291.26984,252.44455,332.39758,232.68001,225.69463,159.44856,256.17188,287.18045,219.77324,303.82166,220.27895,188.11325,176.04347,212.47542,301.98257,228.54506,282.24075,1494.1053,1334.046,1130.9642,969.8964,893.4038,888.1328,816.436,1481.5176,1240.0037,1115.4343,1036.7975,895.55206,878.0811,809.6086
17,-189.69489,-276.3983,-276.75635,-301.18936,-258.48517,-307.51416,-312.26538,136.36612,222.42873,221.14154,266.6641,290.2484,252.61954,331.81616,235.48534,227.30594,159.36464,255.69849,285.91147,219.08934,302.99054,223.24295,190.90805,178.77864,216.05647,305.98108,231.85822,286.8834,1494.2749,1334.5123,1131.9636,970.46967,893.8323,888.92,816.9496,1481.3947,1240.0726,1115.508,1036.8488,895.6469,878.1619,809.8151
18,-189.27493,-276.3428,-277.56995,-301.30322,-258.40894,-308.21924,-312.1244,136.44725,222.76591,221.77899,266.82498,289.0947,252.65245,331.06613,238.37645,228.90848,159.26773,255.23238,284.61612,218.41016,302.14322,226.27023,193.64728,181.60457,219.68567,310.13275,235.36371,291.7813,1494.386,1334.9639,1132.9705,971.0537,894.2605,889.7211,817.4721,1481.2255,1240.0961,1115.5054,1036.8303,895.7357,878.2252,809.99536
19,-188.82782,-276.2847,-278.38892,-301.4267,-258.36682,-308.94196,-312.00058,136.56622,223.0287,222.29604,266.85794,287.79636,252.53783,330.14536,241.36465,230.51991,159.15013,254.76772,283.30157,217.73248,301.27612,229.3681,196.34549,184.49149,223.34445,314.41925,239.04669,296.91956,1494.4128,1335.3647,1133.9578,971.6236,894.6648,890.5062,817.9791,1480.986,1240.0542,1115.4131,1036.7268,895.8018,878.23975,810.1325
20,-188.36502,-276.22144,-279.21136,-301.55576,-258.33868,-309.66058,-311.88257,136.71452,223.22273,222.71407,266.76978,286.3428,252.27104,329.05005,244.45602,232.1655,159.00908,254.29303,281.9724,217.048,300.38382,232.54031,199.0314,187.40523,227.01978,318.8188,242.88922,302.2691,1494.3329,1335.679,1134.9014,972.1531,895.0238,891.2454,818.4465,1480.6526,1239.929,1115.2208,1036.5236,895.8298,878.17566,810.2118
21,-187.89615,-276.1474,-280.03375,-301.6851,-258.30646,-310.3529,-311.75812,136.87982,223.36354,223.05557,266.57004,284.72525,251.84912,327.77182,247.64351,233.8722,158.8492,253.79393,280.62985,216.34395,299.45905,235.7815,201.73892,190.31633,230.70457,323.3066,246.86757,307.7894,1494.1326,1335.8785,1135.7838,972.6188,895.3218,891.9141,818.85333,1480.2087,1239.7078,1114.9231,1036.2108,895.8074,878.01056,810.2219
