,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
10,-16.943274,-21.192457,-6.4876823,-4.2395973,74.14925,-16.822306,-21.269709,-145.4697,131.21928,-70.71709,22.462746,58.818787,47.798096,186.01888,236.67928,-9.317482,58.09179,39.390633,226.30481,203.6469,45.904465,34.656937,1555.7949,1212.7568,1464.5479,1291.6053,1357.8124,1155.9335,1063.166,1028.8474,1017.46826,1060.3931,1058.9935
11,-17.11344,-21.38075,-6.633751,-4.4047756,74.118164,-17.010939,-21.45827,-145.52507,131.11757,-70.890915,22.275337,58.337242,47.588898,185.5784,236.35876,-9.547831,57.96114,39.3124,226.30643,203.5336,45.89578,34.53557,1555.7838,1212.6567,1464.5536,1291.6833,1357.8209,1155.845,1063.1128,1028.86,1017.47345,1060.3556,1058.9493
12,-17.27939,-21.540442,-6.776718,-4.578356,74.112785,-17.183083,-21.635534,-145.59515,131.00679,-71.067024,22.099066,57.87052,47.355324,185.14394,236.02592,-9.786951,57.803886,39.212246,226.29828,203.42436,45.865387,34.433167,1555.7689,1212.5691,1464.5603,1291.7612,1357.8496,1155.7665,1063.0599,1028.8875,1017.48395,1060.3217,1058.9049
13,-17.436537,-21.669018,-6.9204903,-4.7578735,74.12465,-17.335045,-21.797842,-145.6873,130.88185,-71.24192,21.938068,57.415627,47.098206,184.71802,235.67519,-10.047321,57.61547,39.08506,226.27011,203.31694,45.802494,34.34929,1555.7517,1212.4952,1464.5664,1291.8401,1357.9023,1155.6995,1063.0095,1028.927,1017.4989,1060.2926,1058.8606
14,-17.585672,-21.769241,-7.0696526,-4.941326,74.141495,-17.46746,-21.944073,-145.80785,130.73843,-71.41213,21.793722,56.966476,46.820473,184.30075,235.30038,-10.341883,57.39538,38.929825,226.21152,203.20724,45.699913,34.275562,1555.7369,1212.4347,1464.5706,1291.9205,1357.9808,1155.6434,1062.9631,1028.9738,1017.5164,1060.269,1058.8163
15,-17.732653,-21.848541,-7.22834,-5.128088,74.1499,-17.584805,-22.07518,-145.9607,130.57466,-71.5745,21.665302,56.514946,46.525364,183.88916,234.89603,-10.682257,57.14626,38.748577,226.11415,203.08987,45.55467,34.196957,1555.7314,1212.3853,1464.5712,1292.0027,1358.0844,1155.5964,1062.9211,1029.0219,1017.53467,1060.2509,1058.7712
16,-17.88598,-21.917559,-7.399067,-5.3193054,74.13833,-17.694149,-22.193726,-146.14612,130.39256,-71.72644,21.550987,56.052513,46.21454,183.4771,234.45877,-11.076883,56.871964,38.544296,225.97343,202.95935,45.36749,34.095375,1555.7423,1212.3439,1464.5669,1292.0857,1358.209,1155.5557,1062.8828,1029.0671,1017.5521,1060.2368,1058.7239
17,-18.053297,-21.988113,-7.5818787,-5.5175114,74.09943,-17.80346,-22.303402,-146.36006,130.19849,-71.866196,21.448734,55.572067,45.886703,183.05598,233.98837,-11.529417,56.575157,38.318672,225.78882,202.81183,45.141445,33.953873,1555.7742,1212.3073,1464.5569,1292.1685,1358.3486,1155.5188,1062.847,1029.1094,1017.5688,1060.2246,1058.6709
18,-18.23828,-22.071,-7.774151,-5.7254314,74.03108,-17.919832,-22.408552,-146.5944,130.00179,-71.993225,21.356525,55.069168,45.537205,182.61598,233.4876,-12.037863,56.255405,38.070908,225.56204,202.64694,44.880238,33.760204,1555.8268,1212.2721,1464.54,1292.2495,1358.4962,1155.484,1062.8125,1029.1516,1017.5864,1060.2115,1058.6091
19,-18.439253,-22.174004,-7.970997,-5.9443893,73.93588,-18.048052,-22.513655,-146.83847,129.81206,-72.10849,21.271973,54.542442,45.158703,182.14737,232.96123,-12.594793,55.908497,37.798042,225.2942,202.46884,44.58657,33.508583,1555.8954,1212.2358,1464.5168,1292.3284,1358.6455,1155.4508,1062.7781,1029.1993,1017.60944,1060.1946,1058.5364
20,-18.650122,-22.30054,-8.166237,-6.1728497,73.81948,-18.189726,-22.62273,-147.08107,129.63571,-72.2147,21.191597,53.99289,44.74289,181.6417,232.41422,-13.188692,55.52739,37.49643,224.98297,202.2856,44.26136,33.199818,1555.9723,1212.1974,1464.489,1292.4048,1358.7924,1155.4191,1062.7429,1029.2577,1017.6443,1060.171,1058.4526
21,-18.863218,-22.449171,-8.353519,-6.405632,73.68857,-18.343222,-22.738808,-147.3128,129.47308,-72.31598,21.11035,53.422394,44.282703,181.0928,231.84996,-13.806173,55.104565,37.16352,224.62177,202.10675,43.90397,32.840008,1556.0497,1212.1561,1464.46,1292.4802,1358.9353,1155.3894,1062.7072,1029.329,1017.6985,1060.1395,1058.3615
22,-19.072737,-22.614109,-8.527359,-6.6341763,73.54925,-18.504349,-22.863503,-147.52779,129.3179,-72.41722,21.02196,52.832146,43.774437,180.49722,231.26897,-14.434469,54.634815,36.7989,224.20154,201.93912,43.513298,32.438583,1556.1233,1212.1122,1464.4349,1292.5564,1359.075,1155.3624,1062.6714,1029.412,1017.77905,1060.1003,1058.2695
23,-19.277323,-22.786741,-8.683773,-6.847803,73.40628,-18.667566,-22.996916,-147.72424,129.15973,-72.522964,20.920158,52.221382,43.218925,179.85446,230.66833,-15.063791,54.117435,36.404095,223.71466,201.78201,43.089115,32.005886,1556.1937,1212.066,1464.4197,1292.6351,1359.2124,1155.3381,1062.6371,1029.5024,1017.89014,1060.0552,1058.1853
24,-19.480703,-22.957794,-8.820583,-7.035761,73.26309,-18.827345,-23.137856,-147.9041,128.98892,-72.63635,20.800413,51.587013,42.621292,179.16656,230.04245,-15.689058,53.556786,35.981262,223.15933,201.62253,42.63298,31.550789,1556.2666,1212.0186,1464.4194,1292.7181,1359.3467,1155.3171,1062.6064,1029.5944,1018.03,1060.0071,1058.116
25,-18.606146,-21.768852,-8.391014,-6.028385,73.46427,-20.135075,-23.258738,-148.62813,128.94977,-71.503845,18.68522,51.688377,42.426975,179.19186,229.12854,-15.648569,52.61174,35.722385,222.4128,200.37674,40.59015,31.394943,1549.3408,1207.9303,1460.5232,1286.9534,1354.5706,1153.6799,1058.8383,1023.46484,1018.6362,1058.228,1054.6503
